latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-37.487,149.913,366.5,1.1,1,2020-02-07,0350,A,100,6.0NRT,302.8,108.9,D
-37.49,149.889,391.3,1.1,1,2020-02-07,0350,A,100,6.0NRT,300.2,219.5,D
-37.491,149.877,343.5,1.1,1,2020-02-07,0350,A,91,6.0NRT,295,43.5,D
-37.494,149.852,409.4,1.1,1,2020-02-07,0350,A,100,6.0NRT,302.6,343.7,D
-37.496,149.839,370.9,1.1,1,2020-02-07,0350,A,100,6.0NRT,293.6,122.7,D
-37.476,149.924,365.9,1.1,1,2020-02-07,0350,A,100,6.0NRT,301.7,106.1,D
-37.477,149.912,339.6,1.1,1,2020-02-07,0350,A,68,6.0NRT,298.8,36.2,D
-37.483,149.863,357.8,1.1,1,2020-02-07,0350,A,97,6.0NRT,296.9,77.3,D
-37.485,149.85,412.7,1.1,1,2020-02-07,0350,A,100,6.0NRT,305.4,369.2,D
-37.487,149.837,382.8,1.1,1,2020-02-07,0350,A,100,6.0NRT,297.5,174.1,D
-37.471,149.93,340.7,1.1,1,2020-02-07,0350,A,65,6.0NRT,297.3,38.7,D
-37.472,149.918,341.6,1.1,1,2020-02-07,0350,A,68,6.0NRT,300.3,41.4,D
-37.479,149.869,333.6,1.1,1,2020-02-07,0350,A,44,6.0NRT,295.6,26.1,D
-37.48,149.856,351.4,1.1,1,2020-02-07,0350,A,70,6.0NRT,298.4,61.2,D
-37.482,149.844,365.7,1.1,1,2020-02-07,0350,A,75,6.0NRT,299.9,105,D
-37.461,149.928,338.9,1.1,1,2020-02-07,0350,A,80,6.0NRT,296.8,34.8,D
-37.463,149.916,324.9,1.1,1,2020-02-07,0350,A,57,6.0NRT,297.6,15.4,D
-37.441,149.937,335.6,1.1,1,2020-02-07,0350,A,43,6.0NRT,296.4,28.1,D
-37.43,149.947,337.9,1.1,1,2020-02-07,0350,A,21,6.0NRT,295.1,31.8,D
-37.238,149.196,339.7,1.1,1.1,2020-02-07,0350,A,90,6.0NRT,296.4,45.1,D
-36.953,149.603,371.1,1.1,1,2020-02-07,0350,A,87,6.0NRT,296.9,128.5,D
-36.958,149.49,335.3,1.1,1.1,2020-02-07,0350,A,83,6.0NRT,294.1,31.1,D
-36.959,149.477,337,1.1,1.1,2020-02-07,0350,A,89,6.0NRT,298.5,35.4,D
-36.959,149.401,325.4,1.1,1.1,2020-02-07,0350,A,65,6.0NRT,292.1,23.4,D
-36.942,149.461,331,1.1,1.1,2020-02-07,0350,A,52,6.0NRT,291.4,25.5,D
-36.943,149.449,332.1,1.1,1.1,2020-02-07,0350,A,56,6.0NRT,293.8,28.2,D
-36.945,149.436,338.3,1.1,1.1,2020-02-07,0350,A,79,6.0NRT,294.5,39.2,D
-36.946,149.424,328.2,1.1,1.1,2020-02-07,0350,A,77,6.0NRT,291.7,24.6,D
-26.163,148.612,329.3,1,1,2020-02-07,0355,A,67,6.0NRT,298.7,17,D
-21.515,148.637,324.8,1,1,2020-02-07,0355,A,29,6.0NRT,300,14.5,D
-21.449,148.402,366.1,1,1,2020-02-07,0355,A,100,6.0NRT,310.1,86.1,D
-21.451,148.392,336.5,1,1,2020-02-07,0355,A,73,6.0NRT,308.8,18.8,D
-20.998,148.024,331.7,1,1,2020-02-07,0355,A,67,6.0NRT,300.2,20.1,D
-20.331,148.435,330.6,1,1,2020-02-07,0355,A,78,6.0NRT,300.9,18.9,D
-19.951,147.242,327.5,1,1,2020-02-07,0355,A,52,6.0NRT,306.6,13.2,D
-19.364,145.694,354,1.1,1,2020-02-07,0355,A,97,6.0NRT,305.7,66.1,D
-16.657,145.282,334.8,1.1,1,2020-02-07,0355,A,76,6.0NRT,299.1,28.6,D
-13.968,123.319,310.8,1.1,1,2020-02-07,0535,A,41,6.0NRT,288.4,6.7,D
-13.969,123.309,312.4,1.1,1,2020-02-07,0535,A,54,6.0NRT,289.8,8,D
-33.667,117.459,360.5,2.6,1.6,2020-02-07,0530,A,100,6.0NRT,307,278.6,D
-33.669,117.43,372.1,2.7,1.6,2020-02-07,0530,A,100,6.0NRT,309.3,437.1,D
-33.653,117.458,392.2,2.6,1.6,2020-02-07,0530,A,100,6.0NRT,309.8,780.2,D
-33.655,117.428,420.7,2.7,1.6,2020-02-07,0530,A,100,6.0NRT,320.7,1578.7,D
-33.678,117.452,337.2,2.6,1.6,2020-02-07,0530,A,77,6.0NRT,301.5,82.8,D
-33.663,117.451,397.4,2.6,1.6,2020-02-07,0530,A,100,6.0NRT,311.3,903,D
-33.666,117.422,374.1,2.7,1.6,2020-02-07,0530,A,100,6.0NRT,311.7,465.5,D
-33.649,117.45,399.7,2.6,1.6,2020-02-07,0530,A,100,6.0NRT,311.7,956.4,D
-33.651,117.421,394.7,2.7,1.6,2020-02-07,0530,A,100,6.0NRT,317.6,842.9,D
-33.637,117.419,350.7,2.7,1.6,2020-02-07,0530,A,95,6.0NRT,306.8,181.1,D
-32.926,124.244,342.7,1.1,1,2020-02-07,0530,A,74,6.0NRT,297.6,40.5,D
-32.917,124.242,381.2,1.1,1,2020-02-07,0530,A,100,6.0NRT,311.7,157.9,D
-32.918,124.231,408.6,1.1,1,2020-02-07,0530,A,100,6.0NRT,316.9,325.6,D
-32.92,124.219,376.5,1.1,1,2020-02-07,0530,A,100,6.0NRT,305.4,141.9,D
-32.909,124.229,356.6,1.1,1,2020-02-07,0530,A,95,6.0NRT,309.4,66.9,D
